"Sample    : cr_15756_t16",
"Operator  : americo",
"Comment  : ",
"Group     : kerr2007ag180cal_lt",
"Date       : 2011-04-11 18:37:33",
"",
"Mesurement Condition",
"------------------------------------------------------------------------------------",
"Instrument : 700HS2   Atmosphere : Vac.   Collimator : 10(mm)   Spin : No",
"------------------------------------------------------------------------------------",
"Analyte               TG kV   uA      FI Acq.(keV)  Anal.(keV)  Time(sec)     DT(%)",
"------------------------------------------------------------------------------------",
"Na                    Rh 50  237-Auto Al  0 - 20    0.8 - 1.2   Live -  180   16",
"",
"<Profile>",
"Channel_info_start",
"Channel : Na",
"Points : 2048",
"Range : 0.000000 - 20.480000",
"Step : 0.010000",
"Channel_info_end",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"2",
"7",
"11",
"12",
"6",
"10",
"6",
"14",
"11",
"13",
"10",
"8",
"19",
"6",
"14",
"14",
"12",
"11",
"13",
"13",
"11",
"11",
"9",
"13",
"10",
"12",
"17",
"7",
"22",
"18",
"18",
"14",
"6",
"19",
"16",
"13",
"22",
"9",
"14",
"12",
"20",
"14",
"16",
"10",
"12",
"12",
"11",
"8",
"10",
"14",
"16",
"12",
"25",
"12",
"10",
"6",
"13",
"7",
"19",
"14",
"18",
"10",
"11",
"22",
"12",
"16",
"18",
"9",
"9",
"11",
"13",
"11",
"13",
"13",
"13",
"5",
"12",
"11",
"17",
"11",
"9",
"7",
"9",
"19",
"19",
"19",
"17",
"20",
"16",
"17",
"22",
"16",
"17",
"16",
"12",
"24",
"17",
"11",
"14",
"12",
"18",
"19",
"21",
"9",
"16",
"18",
"10",
"14",
"12",
"16",
"11",
"16",
"26",
"19",
"24",
"26",
"18",
"14",
"26",
"11",
"21",
"24",
"21",
"21",
"20",
"20",
"14",
"18",
"25",
"20",
"17",
"25",
"21",
"14",
"19",
"20",
"17",
"26",
"24",
"18",
"16",
"35",
"20",
"27",
"26",
"28",
"25",
"19",
"27",
"20",
"25",
"20",
"13",
"24",
"21",
"23",
"18",
"17",
"20",
"14",
"22",
"23",
"28",
"22",
"39",
"25",
"35",
"36",
"52",
"48",
"43",
"65",
"69",
"58",
"68",
"68",
"50",
"36",
"41",
"28",
"32",
"19",
"21",
"20",
"22",
"21",
"12",
"22",
"17",
"26",
"21",
"13",
"22",
"22",
"24",
"23",
"23",
"22",
"21",
"17",
"22",
"11",
"21",
"22",
"18",
"25",
"24",
"14",
"21",
"22",
"18",
"16",
"10",
"8",
"21",
"21",
"17",
"10",
"13",
"9",
"10",
"10",
"18",
"12",
"17",
"10",
"24",
"19",
"14",
"11",
"21",
"20",
"16",
"14",
"14",
"14",
"16",
"21",
"23",
"21",
"21",
"30",
"26",
"23",
"23",
"18",
"18",
"23",
"20",
"20",
"18",
"14",
"24",
"19",
"14",
"17",
"16",
"17",
"23",
"16",
"24",
"19",
"21",
"14",
"11",
"18",
"14",
"20",
"22",
"24",
"18",
"20",
"24",
"18",
"16",
"19",
"17",
"20",
"14",
"11",
"23",
"18",
"14",
"22",
"19",
"16",
"24",
"23",
"14",
"20",
"32",
"21",
"29",
"22",
"21",
"22",
"29",
"22",
"24",
"16",
"34",
"24",
"31",
"32",
"38",
"29",
"27",
"33",
"17",
"19",
"25",
"26",
"24",
"25",
"36",
"27",
"22",
"27",
"43",
"31",
"48",
"49",
"36",
"66",
"71",
"82",
"97",
"99",
"138",
"228",
"252",
"266",
"342",
"431",
"500",
"565",
"630",
"676",
"773",
"684",
"760",
"666",
"665",
"583",
"543",
"417",
"383",
"277",
"234",
"207",
"157",
"120",
"107",
"80",
"67",
"81",
"57",
"74",
"65",
"57",
"59",
"68",
"62",
"80",
"65",
"85",
"83",
"96",
"69",
"87",
"106",
"103",
"109",
"94",
"107",
"83",
"88",
"84",
"70",
"79",
"85",
"71",
"71",
"64",
"56",
"62",
"69",
"55",
"68",
"55",
"64",
"59",
"55",
"50",
"61",
"65",
"57",
"67",
"55",
"62",
"45",
"53",
"67",
"65",
"71",
"54",
"69",
"64",
"63",
"75",
"59",
"58",
"79",
"78",
"64",
"80",
"69",
"89",
"89",
"91",
"105",
"85",
"85",
"103",
"90",
"111",
"92",
"99",
"88",
"100",
"103",
"87",
"94",
"95",
"95",
"92",
"98",
"108",
"109",
"93",
"108",
"89",
"92",
"100",
"108",
"103",
"99",
"84",
"94",
"105",
"71",
"92",
"92",
"90",
"105",
"96",
"103",
"91",
"94",
"85",
"99",
"86",
"106",
"88",
"121",
"93",
"90",
"106",
"127",
"90",
"129",
"112",
"123",
"119",
"130",
"123",
"141",
"144",
"131",
"138",
"151",
"134",
"166",
"167",
"179",
"177",
"185",
"217",
"226",
"226",
"308",
"346",
"450",
"567",
"782",
"1033",
"1523",
"1987",
"3034",
"4003",
"5798",
"7503",
"10003",
"12798",
"16426",
"18758",
"23296",
"26358",
"30992",
"31722",
"34973",
"36305",
"37859",
"35662",
"35500",
"32787",
"30972",
"26108",
"23850",
"19558",
"16765",
"13106",
"10956",
"7965",
"6097",
"4288",
"3087",
"2134",
"1600",
"998",
"783",
"484",
"361",
"263",
"197",
"192",
"147",
"137",
"143",
"137",
"159",
"162",
"162",
"168",
"192",
"211",
"247",
"254",
"345",
"402",
"487",
"605",
"763",
"949",
"1183",
"1523",
"1832",
"2142",
"2629",
"3020",
"3389",
"3662",
"4364",
"4329",
"4631",
"4557",
"4637",
"4448",
"4464",
"3985",
"3660",
"3302",
"2927",
"2414",
"1959",
"1689",
"1320",
"1009",
"813",
"588",
"504",
"326",
"283",
"205",
"168",
"101",
"93",
"85",
"63",
"68",
"65",
"65",
"60",
"48",
"61",
"68",
"69",
"63",
"56",
"64",
"58",
"61",
"59",
"70",
"76",
"62",
"70",
"81",
"75",
"68",
"103",
"75",
"96",
"65",
"85",
"69",
"80",
"92",
"88",
"75",
"91",
"95",
"82",
"75",
"99",
"80",
"75",
"84",
"92",
"94",
"79",
"95",
"105",
"94",
"90",
"68",
"96",
"97",
"99",
"88",
"101",
"72",
"92",
"86",
"111",
"83",
"85",
"86",
"74",
"94",
"86",
"96",
"79",
"87",
"87",
"78",
"104",
"71",
"99",
"97",
"99",
"68",
"72",
"78",
"71",
"83",
"71",
"76",
"75",
"54",
"63",
"65",
"86",
"75",
"69",
"94",
"75",
"82",
"62",
"54",
"75",
"69",
"56",
"81",
"72",
"74",
"68",
"65",
"69",
"75",
"61",
"59",
"71",
"61",
"66",
"66",
"79",
"63",
"78",
"78",
"76",
"57",
"65",
"59",
"66",
"70",
"84",
"72",
"72",
"58",
"78",
"69",
"72",
"79",
"77",
"91",
"82",
"76",
"68",
"67",
"82",
"62",
"92",
"83",
"71",
"80",
"78",
"75",
"85",
"71",
"77",
"78",
"90",
"81",
"85",
"89",
"79",
"75",
"79",
"90",
"90",
"80",
"77",
"93",
"78",
"60",
"82",
"88",
"72",
"79",
"76",
"90",
"72",
"84",
"91",
"69",
"84",
"91",
"81",
"93",
"91",
"104",
"90",
"89",
"75",
"95",
"76",
"85",
"100",
"95",
"95",
"87",
"116",
"111",
"104",
"93",
"72",
"96",
"98",
"84",
"105",
"101",
"87",
"80",
"83",
"81",
"93",
"82",
"86",
"72",
"74",
"62",
"80",
"70",
"76",
"80",
"82",
"66",
"89",
"88",
"81",
"86",
"85",
"86",
"88",
"76",
"76",
"98",
"81",
"60",
"77",
"97",
"84",
"86",
"91",
"62",
"87",
"94",
"91",
"86",
"93",
"80",
"91",
"85",
"101",
"104",
"121",
"125",
"134",
"133",
"144",
"118",
"152",
"120",
"137",
"128",
"124",
"103",
"134",
"133",
"106",
"94",
"117",
"101",
"109",
"80",
"86",
"103",
"99",
"87",
"70",
"97",
"90",
"69",
"91",
"81",
"88",
"76",
"80",
"86",
"82",
"76",
"81",
"77",
"70",
"67",
"84",
"89",
"52",
"80",
"77",
"77",
"76",
"86",
"96",
"69",
