"Sample    : nb2o3_15763_t16",
"Operator  : americo",
"Comment  : ",
"Group     : kerr2007ag180cal_lt",
"Date       : 2011-04-11 20:04:30",
"",
"Mesurement Condition",
"------------------------------------------------------------------------------------",
"Instrument : 700HS2   Atmosphere : Vac.   Collimator : 10(mm)   Spin : No",
"------------------------------------------------------------------------------------",
"Analyte               TG kV   uA      FI Acq.(keV)  Anal.(keV)  Time(sec)     DT(%)",
"------------------------------------------------------------------------------------",
"Na                    Rh 50  210-Auto Al  0 - 20    0.8 - 1.2   Live -  180   15",
"",
"<Profile>",
"Channel_info_start",
"Channel : Na",
"Points : 2048",
"Range : 0.000000 - 20.480000",
"Step : 0.010000",
"Channel_info_end",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"2",
"1",
"6",
"43",
"36",
"33",
"38",
"46",
"57",
"50",
"52",
"71",
"64",
"77",
"87",
"90",
"81",
"72",
"78",
"67",
"52",
"63",
"57",
"72",
"49",
"66",
"55",
"57",
"40",
"60",
"59",
"38",
"52",
"45",
"46",
"50",
"44",
"43",
"39",
"50",
"45",
"36",
"32",
"39",
"49",
"42",
"39",
"45",
"35",
"56",
"43",
"44",
"41",
"43",
"53",
"40",
"45",
"43",
"39",
"48",
"45",
"50",
"39",
"49",
"49",
"41",
"53",
"53",
"53",
"45",
"52",
"55",
"47",
"48",
"44",
"50",
"53",
"37",
"34",
"39",
"42",
"50",
"32",
"44",
"35",
"41",
"35",
"41",
"31",
"46",
"35",
"36",
"30",
"26",
"40",
"20",
"31",
"44",
"39",
"40",
"34",
"39",
"35",
"39",
"29",
"33",
"21",
"33",
"20",
"28",
"33",
"33",
"26",
"34",
"40",
"38",
"32",
"28",
"28",
"37",
"30",
"24",
"23",
"38",
"34",
"41",
"30",
"50",
"32",
"34",
"38",
"33",
"29",
"30",
"23",
"41",
"35",
"45",
"38",
"40",
"41",
"45",
"34",
"37",
"58",
"68",
"67",
"78",
"62",
"60",
"76",
"65",
"90",
"101",
"92",
"127",
"131",
"147",
"168",
"194",
"182",
"220",
"193",
"203",
"236",
"215",
"190",
"219",
"193",
"205",
"207",
"193",
"199",
"227",
"175",
"230",
"228",
"317",
"365",
"495",
"606",
"848",
"985",
"1265",
"1594",
"1914",
"2038",
"2347",
"2391",
"2518",
"2426",
"2508",
"2213",
"2210",
"1895",
"1863",
"1730",
"1618",
"1488",
"1375",
"1286",
"1227",
"999",
"874",
"815",
"722",
"612",
"541",
"441",
"421",
"345",
"303",
"244",
"193",
"162",
"134",
"127",
"102",
"87",
"90",
"74",
"56",
"69",
"64",
"46",
"36",
"45",
"34",
"40",
"35",
"35",
"45",
"49",
"59",
"49",
"58",
"56",
"61",
"55",
"57",
"67",
"61",
"62",
"60",
"43",
"45",
"51",
"42",
"39",
"28",
"25",
"29",
"22",
"28",
"20",
"29",
"24",
"25",
"23",
"17",
"22",
"25",
"16",
"12",
"19",
"14",
"19",
"24",
"20",
"25",
"15",
"29",
"16",
"14",
"13",
"18",
"19",
"17",
"16",
"20",
"18",
"17",
"15",
"22",
"19",
"26",
"19",
"21",
"24",
"19",
"17",
"19",
"23",
"23",
"16",
"19",
"15",
"22",
"16",
"18",
"18",
"22",
"11",
"19",
"18",
"19",
"12",
"24",
"25",
"28",
"17",
"15",
"22",
"21",
"20",
"19",
"22",
"14",
"16",
"23",
"12",
"28",
"16",
"30",
"32",
"42",
"50",
"64",
"55",
"84",
"101",
"119",
"149",
"222",
"191",
"250",
"333",
"364",
"441",
"447",
"432",
"462",
"451",
"465",
"394",
"398",
"314",
"271",
"215",
"179",
"136",
"115",
"66",
"72",
"57",
"64",
"44",
"54",
"40",
"49",
"33",
"38",
"47",
"52",
"57",
"60",
"55",
"58",
"48",
"64",
"63",
"74",
"81",
"79",
"81",
"79",
"68",
"76",
"57",
"52",
"62",
"48",
"47",
"45",
"42",
"34",
"22",
"24",
"19",
"33",
"26",
"31",
"29",
"28",
"29",
"25",
"29",
"29",
"31",
"37",
"34",
"26",
"32",
"32",
"25",
"38",
"35",
"33",
"31",
"33",
"36",
"32",
"39",
"44",
"39",
"37",
"41",
"44",
"31",
"42",
"40",
"50",
"39",
"50",
"55",
"48",
"47",
"56",
"50",
"70",
"57",
"56",
"58",
"52",
"39",
"64",
"52",
"53",
"53",
"47",
"63",
"54",
"25",
"62",
"37",
"47",
"51",
"53",
"49",
"53",
"38",
"40",
"35",
"39",
"39",
"35",
"40",
"39",
"41",
"52",
"40",
"50",
"39",
"36",
"32",
"33",
"40",
"49",
"34",
"48",
"38",
"40",
"30",
"40",
"49",
"40",
"43",
"53",
"58",
"41",
"30",
"40",
"40",
"47",
"35",
"41",
"42",
"37",
"50",
"29",
"44",
"41",
"47",
"45",
"42",
"35",
"37",
"52",
"43",
"44",
"40",
"39",
"45",
"45",
"36",
"47",
"48",
"53",
"49",
"59",
"40",
"35",
"44",
"54",
"46",
"59",
"58",
"47",
"43",
"50",
"39",
"36",
"32",
"40",
"51",
"34",
"48",
"52",
"54",
"53",
"46",
"53",
"56",
"49",
"38",
"62",
"48",
"50",
"50",
"55",
"45",
"60",
"46",
"52",
"59",
"49",
"57",
"47",
"44",
"58",
"55",
"48",
"50",
"58",
"53",
"69",
"52",
"64",
"58",
"55",
"56",
"58",
"60",
"43",
"55",
"59",
"57",
"60",
"58",
"55",
"51",
"64",
"77",
"62",
"57",
"73",
"62",
"57",
"63",
"66",
"64",
"65",
"70",
"75",
"65",
"53",
"69",
"71",
"49",
"72",
"62",
"76",
"73",
"65",
"70",
"76",
"65",
"69",
"65",
"58",
"78",
"71",
"64",
"79",
"69",
"70",
"76",
"76",
"69",
"74",
"78",
"91",
"76",
"74",
"78",
"80",
"73",
"84",
"81",
"71",
"83",
"80",
"78",
"93",
"77",
"87",
"79",
"79",
"75",
"76",
"81",
"79",
"77",
"69",
"67",
"61",
"76",
"86",
"81",
"69",
"87",
"78",
"70",
"86",
"81",
"77",
"88",
"92",
"88",
"64",
"83",
"100",
"96",
"83",
"68",
"91",
"88",
"91",
"85",
"90",
"84",
"92",
"75",
"64",
"84",
"93",
"78",
"76",
"88",
"92",
"84",
"84",
"80",
"97",
"66",
"77",
"81",
"76",
"73",
"97",
"75",
"78",
"86",
"73",
"93",
"98",
"84",
"80",
"79",
"83",
"78",
"65",
"64",
"72",
"95",
"77",
"75",
"93",
"104",
"84",
"92",
"86",
"75",
"72",
"91",
"85",
"85",
"77",
"93",
"75",
"74",
"87",
"84",
"84",
"85",
"98",
"89",
"88",
"80",
"100",
"81",
"96",
"68",
"77",
"91",
"93",
"57",
"85",
"80",
"85",
"83",
"106",
"80",
"84",
"75",
"83",
"89",
"90",
"73",
"100",
"73",
"89",
"76",
"73",
"83",
"88",
"63",
"96",
"86",
"93",
"91",
"85",
"78",
"98",
"72",
"96",
"85",
"94",
"72",
"89",
"83",
"103",
"98",
"94",
"90",
"98",
"99",
"87",
"110",
"104",
"114",
"107",
"110",
"101",
"114",
"109",
"104",
"126",
"111",
"107",
"100",
"107",
"103",
"94",
"91",
"103",
"105",
"99",
"77",
"93",
"94",
"86",
"86",
"94",
"77",
"89",
"96",
"94",
"81",
"83",
"86",
"88",
"78",
"103",
"76",
"89",
"73",
"76",
"105",
"91",
"78",
"80",
"81",
"98",
"76",
"88",
"93",
"103",
"77",
"90",
"99",
"116",
"98",
"119",
"107",
"122",
"102",
"116",
"102",
"130",
"100",
"118",
"128",
"124",
"126",
"108",
"135",
"119",
"116",
"144",
"105",
"129",
"109",
"118",
"98",
"108",
"107",
"74",
"95",
"73",
"94",
"109",
"83",
"101",
"111",
"78",
"106",
"87",
"92",
"123",
"79",
"83",
"87",
"99",
"97",
"95",
"100",
"88",
"99",
"97",
"79",
"89",
"102",
"79",
"84",
"85",
"101",
"84",
"88",
"84",
"90",
"95",
"75",
"89",
"77",
"99",
