Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,     9
  15,      2.013,       2243,         63,       1.87
  20,      3.691,      32351,        183,       2.71
  22,      4.509,       1180,         82,       2.48
  26,      6.399,       1201,        118,       1.81
  27,      6.925,        924,        127,       1.34
  29,      8.041,       2094,        225,       1.95
  30,      8.631,       3728,        230,       1.37
  45,      2.696,        370,         36,       1.44
  57,      4.651,        652,        121,       3.37
